InvoiceID,InvoiceTypeCode,InvoiceIssueDateTime,InvoicePaymentDueDate,InvoiceLineSpec (Y/N),InvoiceSellerAssignedID,InvoiceBuyerPO,SellerSelect,SellerCompanyID,SellerCompanyName,SellerSector,SellerCountry,SellerIBANID,SellerPaymentRef,SellerDeliveryInfo,SellerNotes,BuyerSelect,BuyerCompanyID,BuyerCompanyName,BuyerSector,BuyerCountry,AmountTotal,AmountCurrency,AmountVAT,ConfirmedByBuyer,ConfirmedByBank,ConfirmedPaymentDate,CalcVATPeriod,CalcProductionInput,Good,IsManipulated
INV000001,380,2025-02-08 01:17:09,2025-03-10 01:17:09,N,FreshLink Logistics,PO-Luigi's Pizzeria-00001,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE370139325,REF-00001,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,187.33,EUR,31.22,N,N,2025-03-07 01:17:09,2025-Q1,2,Canned Tomatoes,N
INV000002,380,2022-06-05 12:18:49,2022-07-05 12:18:49,N,Jean Dupont,PO-CUST-00002,Y,10,Jean Dupont,Customers,France,DE6981915510,REF-00002,Main warehouse,,Y,,,,,130.1,EUR,21.68,Y,Y,2022-06-30 12:18:49,2022-Q2,2,,N
INV000003,380,2024-03-17 10:08:11,2024-04-16 10:08:11,N,AgroDistrib Europe,PO-Napoli Express-00003,Y,6,AgroDistrib Europe,Distributors,France,DE108925336,REF-00003,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,119.36,EUR,19.89,N,N,2024-04-11 10:08:11,2024-Q1,2,Cheese,N
INV000004,380,2023-02-16 17:55:20,2023-03-18 17:55:20,N,Farm2Can Ltd.,PO-Napoli Express-00004,Y,4,Farm2Can Ltd.,Food Producers,Luxembourg,DE626825854,REF-00004,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,42.91,EUR,7.15,Y,Y,2023-03-15 17:55:20,2023-Q1,2,Canned Tomatoes,N
INV000005,380,2021-10-13 03:00:22,2021-11-12 03:00:22,N,Napoli Express,PO-Jean Dupont-00005,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE567197348,REF-00005,Main warehouse,,Y,10,Jean Dupont,Customers,France,36.62,EUR,6.1,N,Y,2021-11-10 03:00:22,2021-Q4,4,Pizza,N
INV000006,380,2025-01-04 19:46:18,2025-02-03 19:46:18,N,FreshLink Logistics,PO-Luigi's Pizzeria-00006,Y,5,FreshLink Logistics,Distributors,France,DE296893875,REF-00006,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,84.67,EUR,14.11,Y,Y,2025-01-31 19:46:18,2025-Q1,2,Canned Tomatoes,N
INV000007,380,2024-08-02 20:17:31,2024-09-01 20:17:31,N,FreshLink Logistics,PO-Napoli Express-00007,Y,5,FreshLink Logistics,Distributors,France,DE109412455,REF-00007,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,26.48,EUR,4.41,N,N,2024-08-30 20:17:31,2024-Q3,2,Canned Tomatoes,N
INV000008,380,2021-06-22 04:47:21,2021-07-22 04:47:21,N,AgroDistrib Europe,PO-Napoli Express-00008,Y,6,AgroDistrib Europe,Distributors,Luxembourg,DE327256226,REF-00008,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,55.73,EUR,9.29,N,Y,2021-07-22 04:47:21,2021-Q2,2,Cheese,N
INV000009,380,2020-12-12 02:40:48,2021-01-11 02:40:48,N,Jean Dupont,PO-CUST-00009,Y,10,Jean Dupont,Customers,Luxembourg,DE9725365310,REF-00009,Main warehouse,,Y,,,,,162.13,EUR,27.02,N,Y,2021-01-08 02:40:48,2020-Q4,2,,N
INV000010,380,2023-04-24 10:46:15,2023-05-24 10:46:15,N,TomatoMagic Co.,PO-CUST-00010,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE440690323,REF-00010,Main warehouse,,Y,,,,,37.8,EUR,6.3,Y,Y,2023-05-21 10:46:15,2023-Q2,3,Canned Tomatoes,N
INV000011,380,2024-06-28 07:40:05,2024-07-28 07:40:05,N,TomatoMagic Co.,PO-FreshLink Logistics-00011,Y,3,TomatoMagic Co.,Food Producers,France,DE500157933,REF-00011,Main warehouse,,Y,5,FreshLink Logistics,Distributors,Luxembourg,70.96,EUR,11.83,N,N,2024-07-26 07:40:05,2024-Q2,3,Canned Tomatoes,N
INV000012,380,2024-12-17 10:23:27,2025-01-16 10:23:27,N,Farm2Can Ltd.,PO-FreshLink Logistics-00012,Y,4,Farm2Can Ltd.,Food Producers,France,DE790887204,REF-00012,Main warehouse,,Y,5,FreshLink Logistics,Distributors,France,37.96,EUR,6.33,N,Y,2025-01-16 10:23:27,2024-Q4,2,Canned Tomatoes,N
INV000013,380,2021-03-24 00:57:22,2021-04-23 00:57:22,N,FreshLink Logistics,PO-Napoli Express-00013,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE170978415,REF-00013,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,87.01,EUR,14.5,N,N,2021-04-22 00:57:22,2021-Q1,2,Canned Tomatoes,N
INV000014,380,2025-02-20 11:08:32,2025-03-22 11:08:32,N,Napoli Express,PO-Anna Müller-00014,Y,8,Napoli Express,Pizzarias (B2C),Luxembourg,DE787096688,REF-00014,Main warehouse,,Y,9,Anna Müller,Customers,France,16.74,EUR,2.79,Y,Y,2025-03-20 11:08:32,2025-Q1,4,Pizza,Y
INV000015,380,2020-11-09 08:46:27,2020-12-09 08:46:27,N,AgroDistrib Europe,PO-Luigi's Pizzeria-00015,Y,6,AgroDistrib Europe,Distributors,Luxembourg,DE531516446,REF-00015,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,75.24,EUR,12.54,N,Y,2020-12-09 08:46:27,2020-Q4,2,Cheese,N
INV000016,380,2022-02-22 06:56:08,2022-03-24 06:56:08,N,Sunshine Growers,PO-TomatoMagic Co.-00016,Y,2,Sunshine Growers,Farmers,France,DE269485432,REF-00016,Main warehouse,,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,20.77,EUR,3.46,Y,N,2022-03-20 06:56:08,2022-Q1,1,Tomatoes,N
INV000017,380,2025-05-03 23:57:55,2025-06-02 23:57:55,N,FreshLink Logistics,PO-Luigi's Pizzeria-00017,Y,5,FreshLink Logistics,Distributors,France,DE222103525,REF-00017,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,43.01,EUR,7.17,Y,N,2025-06-01 23:57:55,2025-Q2,2,Canned Tomatoes,N
INV000018,380,2025-04-05 05:31:06,2025-05-05 05:31:06,N,FreshLink Logistics,PO-Napoli Express-00018,Y,5,FreshLink Logistics,Distributors,Luxembourg,DE604033095,REF-00018,Main warehouse,,Y,8,Napoli Express,Pizzarias (B2C),France,32.7,EUR,5.45,N,Y,2025-05-03 05:31:06,2025-Q2,2,Canned Tomatoes,N
INV000019,380,2023-06-24 03:44:07,2023-07-24 03:44:07,N,Anna Müller,PO-CUST-00019,Y,9,Anna Müller,Customers,France,DE435960569,REF-00019,Main warehouse,,Y,,,,,123.44,EUR,20.57,N,N,2023-07-24 03:44:07,2023-Q2,2,,N
INV000020,380,2021-08-30 04:46:14,2021-09-29 04:46:14,N,TomatoMagic Co.,PO-Luigi's Pizzeria-00020,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE742025963,REF-00020,Main warehouse,,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,27.04,EUR,4.51,N,Y,2021-09-26 04:46:14,2021-Q3,3,Canned Tomatoes,N
INV000021,380,2021-08-02 21:45:54,2021-09-01 21:45:54,N,Luigi's Pizzeria,PO-Anna Müller-00021,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,DE953595337,REF-00021,Main warehouse,,Y,9,Anna Müller,Customers,France,164.54,EUR,27.42,N,N,2021-08-30 21:45:54,2021-Q3,5,Pizza,N
INV000022,380,2023-07-23 10:21:13,2023-08-22 10:21:13,N,TomatoMagic Co.,PO-FreshLink Logistics-00022,Y,3,TomatoMagic Co.,Food Producers,Luxembourg,DE155856493,REF-00022,Main warehouse,,Y,5,FreshLink Logistics,Distributors,France,57.58,EUR,9.6,Y,N,2023-08-20 10:21:13,2023-Q3,3,Canned Tomatoes,N
INV000023,380,2024-01-21 01:58:58,2024-02-20 01:58:58,N,Luigi's Pizzeria,PO-Jean Dupont-00023,Y,7,Luigi's Pizzeria,Pizzarias (B2C),Luxembourg,DE387850067,REF-00023,Main warehouse,,Y,10,Jean Dupont,Customers,Luxembourg,67.46,EUR,11.24,Y,N,2024-02-16 01:58:58,2024-Q1,5,Pizza,Y
INV000024,380,2020-10-27 15:35:57,2020-11-26 15:35:57,N,Napoli Express,PO-Anna Müller-00024,Y,8,Napoli Express,Pizzarias (B2C),France,DE676758078,REF-00024,Main warehouse,,Y,9,Anna Müller,Customers,Luxembourg,118.84,EUR,19.81,N,N,2020-11-21 15:35:57,2020-Q4,4,Pizza,N
INV000025,380,2021-06-08 05:33:23,2021-07-08 05:33:23,N,Luigi's Pizzeria,PO-Jean Dupont-00025,Y,7,Luigi's Pizzeria,Pizzarias (B2C),France,DE204454527,REF-00025,Main warehouse,,Y,10,Jean Dupont,Customers,France,46.0,EUR,7.67,N,Y,2021-07-07 05:33:23,2021-Q2,5,Pizza,N
